"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","452","55","0","2021","1","","Alabama -- Statewide","Federal Government","NAICS 452 General merchandise stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",6,674,679,670,4769784,0,0,544,"",1.69,1.68,1.70,1.69,2.09,0.00,0.00,1.23,"",0,0.0,36,5.6,35,5.4,32,5.0,-1264963,-21.0,0,0.0,0,0.0,-181,-25.0
"01000","1","452","55","0","2021","2","","Alabama -- Statewide","Federal Government","NAICS 452 General merchandise stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",6,652,673,684,5021441,0,0,577,"",1.69,1.66,1.74,1.77,2.03,0.00,0.00,1.18,"",0,0.0,19,3.0,39,6.2,63,10.1,-545405,-9.8,0,0.0,0,0.0,-103,-15.1
"01000","1","452","55","0","2021","3","","Alabama -- Statewide","Federal Government","NAICS 452 General merchandise stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",6,665,669,662,4193085,0,0,485,"",1.70,1.73,1.76,1.77,1.65,0.00,0.00,0.94,"",0,0.0,60,9.9,59,9.7,61,10.1,-494611,-10.6,0,0.0,0,0.0,-111,-18.6
"01000","5","452","55","0","2021","1","","Alabama -- Statewide","Private","NAICS 452 General merchandise stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1719,58683,58364,58943,396635924,294553664,3710347,520,"",2.05,1.38,1.41,1.43,1.80,1.78,2.19,1.28,"",12,0.7,1588,2.8,2249,4.0,2252,4.0,44365663,12.6,19127766,6.9,1700282,84.6,42,8.8
"01000","5","452","55","0","2021","2","","Alabama -- Statewide","Private","NAICS 452 General merchandise stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1741,57409,58379,57839,410669490,118547022,1517933,546,"",2.07,1.43,1.44,1.43,1.67,1.82,2.13,1.16,"",29,1.7,3677,6.8,986,1.7,-661,-1.1,28591633,7.5,-2313301,-1.9,650965,75.1,26,5.0
"01000","5","452","55","0","2021","3","","Alabama -- Statewide","Private","NAICS 452 General merchandise stores","State, NAICS 3-digit -- by ownership sector","All establishment sizes",1761,57936,58357,60593,415780617,79325158,1014145,542,"",2.08,1.42,1.43,1.49,1.68,1.57,1.96,1.17,"",38,2.2,-778,-1.3,-849,-1.4,1667,2.8,59236701,16.6,9563917,13.7,506108,99.6,77,16.6
"01001","5","452","75","0","2021","1","","Autauga County, Alabama","Private","NAICS 452 General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,502,495,516,3326572,2437540,30726,507,"",2.92,2.10,2.12,2.20,3.27,3.07,3.55,1.53,"",1,6.2,18,3.7,26,5.5,47,10.0,421849,14.5,171127,7.6,14600,90.5,36,7.6
"01001","5","452","75","0","2021","2","","Autauga County, Alabama","Private","NAICS 452 General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,508,538,515,3596973,1078878,13607,532,"",2.95,2.23,2.33,2.24,3.26,2.93,3.24,1.44,"",0,0.0,-16,-3.1,-15,-2.7,-45,-8.0,127123,3.7,-84324,-7.2,5478,67.4,43,8.8
"01001","5","452","75","0","2021","3","","Autauga County, Alabama","Private","NAICS 452 General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,507,492,490,3414079,677425,8506,529,"",2.92,2.20,2.15,2.12,2.91,2.47,2.91,1.35,"",0,0.0,-44,-8.0,-66,-11.8,-32,-6.1,367933,12.1,44879,7.1,4160,95.7,98,22.7
"01003","5","452","75","0","2021","1","","Baldwin County, Alabama","Private","NAICS 452 General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",81,3135,3159,3167,23018374,17017468,213704,561,"",1.88,1.96,2.01,1.99,3.53,2.75,3.60,1.77,"",2,2.5,35,1.1,107,3.5,91,3.0,1735000,8.2,431874,2.6,92847,76.8,29,5.5
"01003","5","452","75","0","2021","2","","Baldwin County, Alabama","Private","NAICS 452 General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",83,3112,3172,3127,23550426,6778978,85492,577,"",1.93,1.99,1.98,1.92,2.97,2.00,2.48,1.51,"",2,2.5,131,4.4,69,2.2,63,2.1,1515571,6.9,-160352,-2.3,35887,72.3,21,3.8
"01003","5","452","75","0","2021","3","","Baldwin County, Alabama","Private","NAICS 452 General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",85,3127,3105,3216,23588118,4390971,55051,576,"",1.97,1.91,1.93,2.02,2.90,1.74,2.33,1.49,"",4,4.9,14,0.4,21,0.7,9,0.3,3110465,15.2,429123,10.8,27083,96.8,73,14.5
"01005","5","452","75","0","2021","1","","Barbour County, Alabama","Private","NAICS 452 General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,275,287,295,2095361,1526696,19520,564,"",3.10,1.64,1.75,1.82,3.28,2.55,3.31,1.89,"",0,0.0,2,0.7,16,5.9,22,8.1,343801,19.6,160676,11.8,9632,97.4,69,13.9
"01005","5","452","75","0","2021","2","","Barbour County, Alabama","Private","NAICS 452 General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,300,306,303,2007985,584308,7513,510,"",3.13,1.93,1.95,1.92,2.82,2.13,2.50,1.46,"",0,0.0,25,9.1,-26,-7.8,-27,-8.2,-67365,-3.2,-94628,-13.9,2645,54.3,-1,-0.2
"01005","5","452","75","0","2021","3","","Barbour County, Alabama","Private","NAICS 452 General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",11,289,317,348,2224061,409926,5288,538,"",3.14,1.84,2.01,2.21,3.08,2.09,2.58,1.53,"",0,0.0,-25,-8.0,1,0.3,61,21.3,418212,23.2,57389,16.3,2759,109.1,84,18.5
"01007","5","452","75","0","2021","1","N","Bibb County, Alabama","Private","NAICS 452 General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,0,0,0,0,0,0,0,"N",2.59,0,0,0,0,0,0,0,"N",1,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","452","75","0","2021","2","N","Bibb County, Alabama","Private","NAICS 452 General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,0,0,0,0,0,0,0,"N",2.60,0,0,0,0,0,0,0,"N",1,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","452","75","0","2021","3","N","Bibb County, Alabama","Private","NAICS 452 General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,0,0,0,0,0,0,0,"N",2.59,0,0,0,0,0,0,0,"N",1,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","452","75","0","2021","1","","Blount County, Alabama","Private","NAICS 452 General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",15,366,362,370,2684518,1956323,24974,564,"",2.91,2.00,2.02,2.06,3.94,3.25,4.44,1.94,"",0,0.0,34,10.2,25,7.4,27,7.9,540663,25.2,288060,17.3,12691,103.3,75,15.3
"01009","5","452","75","0","2021","2","","Blount County, Alabama","Private","NAICS 452 General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,361,376,373,2672667,771430,9978,556,"",3.09,2.08,2.13,2.11,3.36,2.79,3.56,1.60,"",1,6.7,11,3.1,32,9.3,42,12.7,347820,15.0,17984,2.4,4571,84.5,33,6.3
"01009","5","452","75","0","2021","3","N","Blount County, Alabama","Private","NAICS 452 General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",16,0,0,0,0,0,0,0,"N",3.08,0,0,0,0,0,0,0,"N",1,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","452","75","0","2021","1","","Bullock County, Alabama","Private","NAICS 452 General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,28,26,28,100506,86359,1068,283,"",2.54,0.45,0.42,0.46,0.41,0.35,0.31,0.92,"",0,0.0,-1,-3.4,0,0.0,1,3.7,-17225,-14.6,-15371,-15.1,387,56.8,-48,-14.5
"01011","5","452","75","0","2021","2","","Bullock County, Alabama","Private","NAICS 452 General merchandise stores","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,29,30,28,102596,53367,702,272,"",2.58,0.51,0.52,0.47,0.36,0.54,0.41,0.72,"",0,0.0,1,3.6,-2,-6.2,-4,-12.5,-23017,-18.3,-12710,-19.2,257,57.8,-43,-13.7
